state,mode,speed,direct,temperature,redcode
close,cool,auto,auto,27,"[38, 0, 72, 0, 0, 1, 39, 142, 21, 15, 20, 15, 20, 15, 20, 50, 21, 14, 20, 15, 20, 51, 20, 15, 20, 14, 20, 15, 20, 15, 20, 51, 20, 15, 20, 14, 20, 15, 20, 50, 21, 50, 21, 15, 20, 15, 20, 14, 20, 15, 20, 51, 20, 15, 20, 15, 20, 51, 20, 51, 20, 15, 20, 50, 21, 15, 20, 15, 20, 51, 20, 15, 20, 0, 12, 202]"
open,cool,low,auto,16,"[38, 0, 72, 0, 0, 1, 39, 143, 20, 14, 20, 15, 20, 15, 20, 50, 21, 15, 21, 14, 20, 50, 21, 14, 21, 14, 20, 50, 21, 15, 20, 14, 20, 51, 20, 14, 21, 14, 21, 14, 20, 15, 21, 14, 20, 14, 21, 49, 22, 50, 20, 51, 21, 14, 21, 49, 21, 50, 21, 14, 20, 51, 20, 51, 20, 50, 21, 51, 20, 15, 20, 15, 20, 0, 12, 202]"
open,cool,low,auto,17,"[38, 0, 72, 0, 0, 1, 39, 143, 21, 14, 20, 14, 20, 14, 20, 51, 20, 15, 20, 15, 20, 51, 20, 14, 21, 14, 20, 51, 20, 15, 20, 15, 21, 50, 20, 14, 20, 14, 20, 15, 21, 14, 20, 14, 21, 14, 21, 50, 20, 50, 22, 50, 21, 14, 20, 50, 21, 14, 20, 50, 21, 50, 21, 50, 21, 50, 21, 50, 22, 14, 20, 14, 20, 0, 12, 204]"
open,cool,low,auto,18,"[38, 0, 72, 0, 0, 1, 39, 143, 20, 14, 20, 14, 20, 14, 20, 50, 20, 14, 20, 15, 20, 51, 20, 14, 20, 15, 20, 50, 21, 15, 20, 14, 20, 50, 21, 14, 20, 15, 20, 14, 20, 15, 20, 14, 20, 15, 20, 51, 20, 50, 21, 51, 20, 15, 20, 51, 20, 15, 20, 14, 20, 14, 20, 14, 20, 15, 20, 14, 20, 50, 21, 15, 20, 0, 12, 202]"
open,cool,low,auto,19,"[38, 0, 72, 0, 0, 1, 39, 143, 20, 15, 20, 15, 20, 15, 20, 50, 21, 15, 20, 15, 21, 49, 21, 14, 20, 15, 20, 51, 20, 14, 20, 14, 20, 51, 20, 15, 20, 15, 20, 15, 20, 14, 21, 14, 20, 15, 20, 50, 21, 51, 21, 50, 20, 15, 20, 51, 20, 15, 20, 50, 21, 15, 20, 14, 21, 14, 20, 15, 20, 51, 20, 15, 21, 0, 12, 202]"
open,cool,low,auto,20,"[38, 0, 72, 0, 0, 1, 39, 142, 21, 14, 20, 14, 20, 14, 21, 49, 21, 14, 20, 15, 20, 50, 21, 15, 20, 14, 20, 50, 21, 14, 20, 15, 20, 51, 20, 15, 20, 15, 20, 14, 20, 15, 20, 15, 20, 15, 21, 50, 20, 50, 21, 51, 20, 15, 20, 51, 20, 15, 20, 15, 20, 50, 21, 15, 20, 15, 20, 15, 20, 50, 21, 15, 20, 0, 12, 202]"
open,cool,low,auto,21,"[38, 0, 72, 0, 0, 1, 39, 142, 20, 14, 20, 15, 20, 15, 20, 51, 20, 15, 20, 15, 20, 51, 20, 15, 20, 14, 20, 51, 20, 15, 20, 14, 20, 50, 21, 15, 20, 15, 20, 15, 20, 14, 20, 15, 20, 15, 20, 51, 20, 50, 21, 51, 20, 15, 20, 51, 20, 50, 21, 14, 20, 50, 21, 14, 20, 15, 20, 15, 20, 50, 21, 15, 20, 0, 12, 204]"
open,cool,low,auto,22,"[38, 0, 72, 0, 0, 1, 39, 142, 21, 15, 20, 14, 21, 14, 20, 50, 20, 14, 20, 14, 20, 50, 21, 14, 20, 15, 19, 51, 20, 15, 20, 14, 20, 51, 20, 14, 20, 14, 20, 14, 20, 15, 20, 14, 20, 14, 20, 50, 20, 51, 20, 50, 21, 15, 20, 51, 20, 51, 20, 50, 21, 50, 20, 15, 20, 15, 20, 15, 20, 50, 21, 14, 20, 0, 12, 204]"
open,cool,low,auto,23,"[38, 0, 72, 0, 0, 1, 38, 143, 20, 14, 20, 15, 20, 15, 20, 50, 21, 14, 20, 15, 20, 50, 21, 15, 20, 14, 20, 50, 21, 15, 20, 14, 20, 50, 21, 15, 20, 15, 20, 14, 20, 15, 20, 14, 19, 15, 20, 51, 20, 50, 21, 51, 20, 15, 20, 50, 21, 50, 21, 15, 20, 15, 20, 51, 20, 14, 20, 15, 20, 51, 20, 14, 20, 0, 12, 202]"
open,cool,low,auto,24,"[38, 0, 72, 0, 0, 1, 38, 143, 20, 15, 20, 15, 20, 14, 20, 51, 20, 15, 20, 14, 20, 50, 20, 14, 21, 14, 20, 50, 20, 15, 20, 14, 20, 51, 20, 15, 20, 15, 20, 14, 20, 15, 20, 14, 20, 15, 20, 51, 20, 50, 20, 51, 20, 15, 20, 50, 21, 50, 21, 51, 20, 15, 20, 51, 20, 15, 20, 14, 20, 50, 21, 15, 20, 0, 12, 202]"
